"County","peninsula","State","CensusId","State.Code","Region","Division","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","Citizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment"
"Alcona","LP","Michigan",26001,"MI","Midwest","East North Central",10550,5310,5240,1.4,96.3,0.3,0.2,0.4,0,9072,38033,1749,23933,1046,15.2,21.4,22.8,22.5,22.5,13,19.1,81.1,9.1,0.4,2.7,2.1,4.6,22.1,3288,77,15.6,7.4,0,12.2
"Alger","UP","Michigan",26003,"MI","Midwest","East North Central",9476,5218,4258,1.3,84.8,7.7,2.6,0,0,7945,39300,3165,21259,1612,14.3,16.1,29.5,19.3,23.4,9.3,18.5,74.7,9,1,7.2,1.4,6.7,19.7,3166,73.9,20.3,5.7,0.1,10.8
"Allegan","LP","Michigan",26005,"MI","Midwest","East North Central",112837,56205,56632,7,89.1,1.4,0.5,0.7,0,82620,54264,1359,25161,596,12.7,17.1,28.8,15.8,20.9,11.6,23,85.7,7.6,0.2,1.5,1,4.1,24.2,51081,85.2,8.2,6.4,0.2,6.1
"Alpena","LP","Michigan",26007,"MI","Midwest","East North Central",29068,14276,14792,1.2,96.1,0.5,0.6,0.4,0,23222,38829,1569,22082,682,17.2,25,29.6,19.2,26.2,10.9,14.1,82.2,9.7,0.5,1.6,1.9,4,17.6,12233,79.9,12.5,7.3,0.3,9.3
"Antrim","LP","Michigan",26009,"MI","Midwest","East North Central",23267,11587,11680,1.9,95.2,0.3,0.9,0.3,0,18578,46845,1762,27155,1176,14.5,24.7,26.3,23,22.3,11,17.4,74.3,14.7,0.6,2.2,1.1,7,24.5,9528,78.2,11.5,10,0.3,9.7
"Arenac","LP","Michigan",26011,"MI","Midwest","East North Central",15424,7813,7611,1.8,95.2,0.5,1.3,0.2,0,12491,38307,1629,21197,737,19.9,30.6,26.8,20.6,23,11.1,18.5,81.5,9.6,0.8,2.9,1.5,3.7,26.2,5569,80.7,11.2,7.9,0.2,12
"Baraga","UP","Michigan",26013,"MI","Midwest","East North Central",8690,5265,3425,1.3,73.3,18.3,4.5,0.5,0,7237,39803,2514,17461,1900,15.6,24.9,27.2,20.4,24.9,9.8,17.7,85,8.2,0.3,2.2,0.7,3.6,18,2358,74,19.4,6.4,0.2,8.1
"Barry","LP","Michigan",26015,"MI","Midwest","East North Central",59147,29733,29414,2.5,94.9,0.5,0.2,0.5,0,44983,55064,2552,25795,873,11,15.6,31.3,14.5,21.8,11.8,20.6,85.1,8.1,0.1,2,0.7,4.1,27.6,26899,83.5,9.7,6.7,0.2,7.9
"Bay","LP","Michigan",26017,"MI","Midwest","East North Central",106698,52513,54185,5,90.6,1.3,0.2,0.6,0,83554,45583,1434,24445,691,15,21.5,29.7,20.9,25.5,8.6,15.4,86.4,8.1,0.8,1.6,0.9,2.3,21.5,45913,83.9,11,5,0.1,9.7
"Benzie","LP","Michigan",26019,"MI","Midwest","East North Central",17437,8708,8729,2.1,94.3,0.3,1.2,0.3,0,13910,47388,2287,25023,987,11.6,15,29.7,22.2,22.5,12.5,13.2,76.8,13.1,1.8,2.1,1.1,5.2,25.9,7579,78,14.9,7,0.1,8.4
"Berrien","LP","Michigan",26021,"MI","Midwest","East North Central",155565,76026,79539,5,75.3,14.9,0.3,1.8,0,114842,44993,1009,25241,555,17.7,26.5,32.9,18.8,23.1,8.8,16.5,82.6,8.1,0.5,2.7,1.5,4.7,19.6,68463,85.3,8.9,5.6,0.2,9.4
"Branch","LP","Michigan",26023,"MI","Midwest","East North Central",43706,22539,21167,4.3,91.3,2.3,0.2,0.5,0,32764,44373,1589,21263,620,17.7,27.8,22.8,19.3,23.6,9.6,24.7,81.4,9.5,0.4,2.2,1.4,5.1,24.2,18328,81.1,12.1,6.5,0.3,7
"Calhoun","LP","Michigan",26025,"MI","Midwest","East North Central",134790,65845,68945,4.7,79.1,10.7,0.7,1.9,0,100664,42520,1056,23150,502,17.5,25.4,27.7,19.9,22.9,7.8,21.6,80.8,10.7,0.8,3.2,1.1,3.3,20.5,56687,83.7,11.9,4.3,0.1,10
"Cass","LP","Michigan",26027,"MI","Midwest","East North Central",51952,26159,25793,3.3,86.9,4.7,1.1,0.8,0,40282,46570,1880,24314,797,14.7,22.2,28.2,15.4,21.9,11.9,22.5,84.8,8.6,0.1,1.3,1,4.2,24.9,22556,84.5,9.4,5.9,0.1,9.7
"Charlevoix","LP","Michigan",26029,"MI","Midwest","East North Central",26134,12903,13231,1.6,94.3,0.3,1.4,0.4,0,20528,46554,1601,28188,1401,12.3,16.6,29.5,20.2,24.4,9.7,16.1,78.6,12.6,0.7,2,0.6,5.6,20.2,11793,81.3,10.4,7.8,0.5,7.8
"Cheboygan","LP","Michigan",26031,"MI","Midwest","East North Central",25690,12791,12899,1.3,92.4,0.7,2,0.4,0,20882,40219,1325,23631,1055,18.2,30.1,24.8,22.4,26.5,13.7,12.6,79.8,11,0.8,1.8,1.2,5.4,26.1,10029,80.9,12,6.8,0.4,13.9
"Chippewa","UP","Michigan",26033,"MI","Midwest","East North Central",38586,21156,17430,1.6,70.7,6.5,14.8,0.9,0,30237,41993,1700,20396,728,18.9,28.6,30.7,26.5,23.2,7.7,11.9,76.9,12.4,0.8,5.1,1.3,3.5,16.9,14733,63.7,29.5,6.6,0.3,11.7
"Clare","LP","Michigan",26035,"MI","Midwest","East North Central",30710,15163,15547,1.8,95.1,0.4,0.5,0.2,0,24360,33015,1106,19181,780,26.1,41.4,23.8,23.6,22.9,12.3,17.4,80.9,8.7,1.1,2.8,1.9,4.6,26.3,10708,78.7,12.1,8.7,0.5,13.2
"Clinton","LP","Michigan",26037,"MI","Midwest","East North Central",76905,37952,38953,4.3,90.3,1.6,0.1,1.4,0,57692,60909,1394,29766,846,11.8,12.9,39.3,16.8,23.3,8.3,12.3,84,8.3,1.2,1.4,0.7,4.4,23.2,36177,75.1,18.5,6.2,0.2,6.5
"Crawford","LP","Michigan",26039,"MI","Midwest","East North Central",13895,7024,6871,1.7,95.5,0.5,0.3,0.6,0,11181,41743,2001,22595,1443,15.2,19.9,27.2,23.2,21.8,11.2,16.6,75.7,13.8,1,3.5,1.6,4.4,21.4,5197,73.2,19.2,7.1,0.5,12
"Delta","UP","Michigan",26041,"MI","Midwest","East North Central",36712,18172,18540,1,93.7,0.2,1.9,0.3,0,29065,42031,1976,23061,848,17.2,24.5,26.9,19.1,22.8,11.5,19.8,81.6,10.5,0.6,2.7,1.3,3.3,18.6,15510,82.1,11.8,5.9,0.3,9.2
"Dickinson","UP","Michigan",26043,"MI","Midwest","East North Central",26012,12886,13126,1.3,95.9,0.5,0.5,0.6,0,20627,43779,3239,24880,1350,13.8,14.7,32.4,17.2,23.8,10.7,15.8,86,7.6,0.2,2.8,1.2,2.2,16.4,11161,82.3,13.6,3.9,0.3,7
"Eaton","LP","Michigan",26045,"MI","Midwest","East North Central",108341,52842,55499,5.1,83.8,6.3,0.4,2,0,82790,54993,1364,27577,561,10.8,15.6,33.9,17.4,26.1,8,14.7,84.5,9.2,0.7,1.4,1.1,3.1,22.5,51451,77.1,17.9,4.7,0.4,7.8
"Emmet","LP","Michigan",26047,"MI","Midwest","East North Central",33018,16303,16715,1.5,91.5,0.7,2.2,0.6,0.1,25788,51018,1617,31109,2384,10.8,14,35.3,22.3,23.9,9.6,8.9,77,10.9,0.2,4.7,2,5.1,19.3,15869,80.9,9.9,9,0.3,8.4
"Genesee","LP","Michigan",26049,"MI","Midwest","East North Central",415874,200473,215401,3.2,72.5,20.3,0.4,1,0,313549,42327,575,22957,301,20.9,31.4,30.5,19.9,24.8,8.1,16.8,85.3,8.7,1.2,1.2,0.8,2.9,25.6,161750,83.7,11.4,4.7,0.1,13.2
"Gladwin","LP","Michigan",26051,"MI","Midwest","East North Central",25501,12818,12683,1.3,96.5,0.4,0.5,0.4,0,20451,38021,1449,21234,681,20.7,34.4,25.2,19.6,22,14.4,18.8,83.1,8.3,0.5,3.4,1.4,3.3,30,8730,81.5,11.1,6.6,0.8,11
"Gogebic","UP","Michigan",26053,"MI","Midwest","East North Central",15824,8556,7268,1.2,90.1,4.5,2.4,0.5,0.1,13266,35686,1379,21008,1284,20.2,34,28.4,24.8,17.1,10.9,18.9,80.8,10.6,0.7,4,1.4,2.5,17.5,5759,76,19.5,4.3,0.2,9.5
"Grand Traverse","LP","Michigan",26055,"MI","Midwest","East North Central",89907,44272,45635,2.6,92.8,1.3,1.2,0.7,0.1,69870,52950,1821,28050,1007,11,13.5,34.9,19.6,25.9,7.9,11.7,81.4,9.2,0.7,2.3,2.2,4.1,20.4,43804,83,9.5,7.3,0.2,6.6
"Gratiot","LP","Michigan",26057,"MI","Midwest","East North Central",41878,22213,19665,5.6,86.9,5.6,0.3,0.4,0,32945,41912,1381,19618,593,18.9,27.1,28.1,22.7,20.6,9.5,19.1,79.5,10,0.1,3.7,1.1,5.6,22.4,15980,79.2,13.8,6.9,0.1,8.5
"Hillsdale","LP","Michigan",26059,"MI","Midwest","East North Central",46178,22972,23206,2,95.4,0.6,0.5,0.3,0,35530,41961,1342,21291,629,20.1,32.3,26.4,17.6,20.4,9.3,26.3,80.6,9.5,0.2,4.3,0.9,4.4,23.9,19316,81.6,10.6,7.6,0.2,9
